location,rating,review,review_date,type_of_visit,date_of_visit,country,latitude,longitude
"Manila, Philippines",5.0,"We came to Borobudur Temple accompanied by our driver from Yogyakarta. Came early in the morning after visiting Setumbu Hill. Before coming here, make sure you have a ticket to go up to the temple grounds to get the best experience, because if you only buy a temple ground ticket, you can only tour the temple grounds without guidance from a local guide. It's best to plan your trip carefully because Borobudur Temple is a destination that you must visit when you come to Indonesia.",2024-05-13,Family,2024-05,philippines,12.7503486,122.7312101
Malaysia,5.0,Good place for Buddhist pilgrimage place. The ticket is divided into 2 part enter or not enter mandala. We do both in different day. It’s great for meditation 6.30am in the morning!,2024-05-08,Friends,2024-05,malaysia,4.5693754,102.2656823
"London, UK",5.0,Fantastic experience as it was super well organised and organised in allowing bis tours entry and access without feeling like it was overwhelmed with tourists. They have managed the tours to one hour per group and this makes the whole experience far more enjoyable.,2024-04-19,Family,2024-04,united kingdom,54.7023545,-3.2765753
"Barcelona, Spain",4.0,"It is a beautiful temple, in a beautiful settings. If you go, make sure that you pay the extra money (IDR 450k) to go up into the temple. It would be pointless not to do so. The grounds are pretty, but by themselves they would not justify the trip. Now, was I over the moon with the visit? Not really. I think it is a nice thing to do if it fits your trip to Indonesia, but I would not suggest to make this the highlight of it, as there could be some disappointment.	In terms of booking arrangements, I booked with Klook, and everything worked fine. A private tour, leaving the hotel at 8, visiting Borobudur and Prambanan temple, and back by 4pm. Low effort, low profile, just good enough. Be advised that a lot of the ""cheaper"" quotes, including for Klook are prices for Indonesians. The cost when you are a foreigner is higher, and the tour will go quite up in price. Totally fair, in my view, but just something to be aware of.All in all, it is a great day out, and a beautiful temple.",2024-04-17,Couples,2024-04,spain,39.3260685,-4.8379791
"Singapore, Singapore",5.0,"Went Borobudur before pandemic and was surprised now they changed the rules. They limit people to visit Borobudur in a day. Believe is to preserved the temple which is a good way (although they should started it since long time ago).When we just reach the temple, alot people will sell hat and you can even renting stroller (if you bring young kids!). Strongly suggest to bought ticket online. I didn’t know that now they limit the people to visit the temple so I couldn’t get the time I wanted (9.30am). They have few timing in a day which per time, they limit people to 150 max. Since I couldn’t get the timing I wanted & I had another appointment before 12pm, so I just bought the ticket until main ground+Ratu boko temple. So sad come all the while to Borobudur but can’t visit the main temple. The price for foreigner was so much different with the locals. Foreigner around USD 30, while locals only USD 7. But since Borobudur is famous worldwide, with or without foreigners, they already very popular even among local tourists. And you just need to suck it up. I bought tickets together with Ratu Boko and ticket valid for 2 days. Borobudur stil beautiful as before. There’s alot officers surrounding to make sure people without valid ticket won’t be able to enter the temple. But take note is very very very hot. Must drink alot water, wear hat & apply TONS of sunscreen. After you done visiting the temple you will need to have a big you turn & very long walk (need to passby those local sellers) before you can reach the parking area. Overall I will be back to Borobudur next time if I have the chance",2024-04-12,Family,2024-03,singapore,1.357107,103.8194992
"Singapore, Singapore",5.0,"It was, of course, just as wonderful as all the pictures suggest. We were thrown by the somewhat unusual timings here: Sunup is around 5am. So get there very early if you don't want it to be too hot. We arrived at around 10am and it was already sweltering. Also, you have to take a guide selected by the site itself. So I imagine it's total pot-luck about who guides you up the stairs with your 'souvenir' shops. Talking of which, beware the markets around the outskirts of the site. The hawkers are aggressive.",2024-04-08,Family,2024-04,singapore,1.357107,103.8194992
"Cairns, Australia",4.0,"My wife and I recent visited Borobudur. We had a great time and here are a few tips I would have for foreigners planning a visit here.  - The site is partially closed on Mondays. This means you can get into the complex to see Borobudur but you cannot climb the temple which would be one of my main recommendations. - To get here from Yogyakarta you can hire a private driver (I believe this is about 500000 - 650000 for a day), take a grab or use the bus. The bus schedule should be attached to this review with the bus station that I took that photo at being located in front of the bank of Indonesia on the southern end of jalan malioboro road. We used a grab and it cost us 170000 one way. The driver was happy to wait around for us to finish and we paid him the same amount directly to go back. It took about an hour and 15 minutes to get there from Yogyakarta. - This is one of the most popular attractions in Indonesia and thus visitor numbers both foreign and domestic are significant. I would suggest coming early (opening time) both to combat this and the significant heat. They used to offer a sunrise tour but it’s unclear to me whether this is currently running. - There are two types of tickets and the one you select is very important - there is a ‘temple ground ticket’ that allows entry just into the temple park and temple yard (aka the area around the base of the temple). This costs 387500IR for foreigners and 50000IR for locals. The other ticket is the ‘temple structure’ ticket which allows the above as well as a guided tour to the top of Borobudur. This costs 455000IR for foreigners and 120000IR for locals. You absolutely want to get the temple structure ticket as a lot of the temples features - most notably its famous stupors (the bell looking structures with holes) aren’t visible from the base. In addition this tour includes a guide who provides some context to the structure which is helpful.- Visitor numbers for the temple structure ticket are capped. I believe it is 1200 people and this is divided over the course of the day. This means once 1200 people have booked this ticket you cannot get one. Alternatively if everyone has booked the 0830, 0930 and 1030 tours you may have to wait around until 1130 to do the tour, despite getting there at opening time. To combat this I would suggest booking online through the website. We did this in the car on the way to the temple once we got an idea of our ETA and it worked well. - There is a combination ticket for Borobudur and Prambanan. I would advise against this as this ticket only includes Borobudur temple ground ticket, not temple structure. - The guided tour take about an hour. The first 40 minutes is spent at the lower levels of the temple. The guide will run you through its history and the stories behind it. The final 20 minutes is spent at the top level and can only be described as a photo feeding frenzy. This is where the famous photos of Borobudur come from. It can be a bit tricky trying to take decent photos with everyone around but if you just wait they do clear. - The temple is very hot being exposed to the elements and also being made of stone. I would strongly suggest bringing a hat, sunscreen and water. It’s also one of the reasons I would advise you to come early. - You can’t wear shoes on the temple. Instead you are given a set of bamboo thongs (which I believe you get to keep) and a bag to keep your shoes in. - You could visit this temple and prambanan on the same day but I would advise against it. It would be a long day and the heat of visiting prambanan would be terrible if you arrived in the afternoon.- On the lower levels of the temple really watch you step as there are not rails and someone looking at their phone could easily fall off the edge.- Your ticket affords entry to a museum which has information boards in English and Indonesian regarding Borobudur including its restoration Overall a great place to visit even if the ticket price is a bit predatory for foreigners.",2024-03-25,Couples,2024-03,australia,-24.7761086,134.755
"Sydney, Australia",5.0,"The opening hours of Borobodur have recently changed to protect it. On Mondays, you can only access the gardens around it. It also now has limited numbers of people allowed to climb the temple, about 1000 a day. You can book online through the government site. If you use a local Yogya tour guide, they'll be able to arrange your climb ticket. Borobodur is a couple of hours' drive from Yogyakarta, and a couple of hours' drive from Prambanan. They can be seen in the same day but it will require your own car/driver and good planning. Borobodur is beautiful and well worth the visit. They are very careful about maintaining their heritage listing so there is no development around it and it even limits what can happen in Yogyakarta itself. When you climb the temple, you have to wear the slippers they provide, which you then get to keep. They're quite good quality but a bit hard on your feet if you're not used to walking so far in what are effectively thongs/flip flops. Our guide spent quite a long time at the lower levels so it didn't feel like too much work climbing all the stairs as we only climbed one set at a time before having a good rest. He told us a huge amount about the history and construction and, by the time we reached the highest level, the other groups that started at the same time as us had already gone, giving us the top to ourselves, just 20-odd people. It was fabulous and very well-timed on his part. February is very hot and humid. You're given a small water bottle to climb with but most of group bought more water straight after the tour at the little stall at the base, near the exit. It's quite a long walk back to the carpark and you have to go through so many lanes of market stalls it seems never-ending. The sellers are polite, however.Borobodur is amazing and not to be missed.",2024-03-24,Solo,2024-02,australia,-24.7761086,134.755
,1.0,"Whilst the temple is amazing, the entry price is outrageous .  For a foreigner you pay a lot more which is unfair.  If the price were more reasonable, I would give a bit better review but to travel all that way and pay $40 Australian, it was disappointing.  I would not recommend it and like alot of places I found on trip adviser, it’s not as good as it is made out to be as the photos make it look alot better than what it really is.  On top of that, as soon as we got out the car we were hassled by a bunch of street venders trying to sell us souvenirs.  Once your inside, they want more money to get a lift on the golf buggy to the temple.  A complete money grab.",2024-03-23,Couples,2024-03,,,
"Manhattan Beach, CA",5.0,"Borobudur, located in Magelang, Central Java, constructed between 778 and 850 CE and restored between 1907-11, is one of the Seven Wonders of the World (contemporary list) and UNESCO World Heritage Site, is the largest Buddhist temple compound in the world and features 2,672 relief carvings on the lower levels depicting images about the life of Buddha.  The site allows up to 1200 climbers per day and is best toured with a local guide who is able to explain about the unique features.  It is closed on Mondays.  If you are driving in from Bali, be prepared for at least a 3 hour drive because of the traffic.  There are 9 stacked platforms topped by a central dome.  The climb up to the 8th platform is steep with some handrails but caution is essential.  Access to the top platform is open only to devotees.  You walk around each platform to view the multiple stupas and reliefs.  Definitely worth a visit--A unique experience.",2024-03-22,Friends,2024-03,united states,39.7837304,-100.445882
